,Name,profile_URL,publications_url
0,Mark Axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon/publications/
0,Haseeb Ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz/publications/
0,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi/publications/
0,Rana Aytug,https://pureportal.coventry.ac.uk/en/persons/rana-aytug,https://pureportal.coventry.ac.uk/en/persons/rana-aytug/publications/
0,Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub/publications/
0,Evronia Azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer/publications/
0,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei/publications/
0,Maryam Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei/publications/
0,Zaneta Azuma,https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma,https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma/publications/
0,Gbolahan Olusegun Babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola/publications/
0,Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde/publications/
0,Echekwumemchukwu Emmanuel Badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu/publications/
0,Amar Baga,https://pureportal.coventry.ac.uk/en/persons/amar-baga,https://pureportal.coventry.ac.uk/en/persons/amar-baga/publications/
0,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri/publications/
0,Nim Bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia/publications/
0,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr/publications/
0,Mingwen Bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai/publications/
0,Anthony Bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey/publications/
0,Elizabeth Bailey,https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey,https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey/publications/
0,Katrin Bain,https://pureportal.coventry.ac.uk/en/persons/katrin-bain,https://pureportal.coventry.ac.uk/en/persons/katrin-bain/publications/
0,Narinder Bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains/publications/
0,Adam Baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird,https://pureportal.coventry.ac.uk/en/persons/adam-baird/publications/
0,Stuart Baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird/publications/
0,Katie Baker,https://pureportal.coventry.ac.uk/en/persons/katie-baker,https://pureportal.coventry.ac.uk/en/persons/katie-baker/publications/
0,Ali Alperen Bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir/publications/
0,Senthooran Balasubramaniam,https://pureportal.coventry.ac.uk/en/persons/senthooran-balasubramaniam,https://pureportal.coventry.ac.uk/en/persons/senthooran-balasubramaniam/publications/
0,Ken Baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin/publications/
0,Laurence Baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-baldwin/publications/
0,Lindsay Balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour/publications/
0,Jane Ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball/publications/
0,Kirstie Ball,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2/publications/
0,Brandon Ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard/publications/
0,Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke/publications/
0,Mahsa Baniasadi,https://pureportal.coventry.ac.uk/en/persons/mahsa-baniasadi-2,https://pureportal.coventry.ac.uk/en/persons/mahsa-baniasadi-2/publications/
0,Shadi Ismail Mohammad Bani Hani,https://pureportal.coventry.ac.uk/en/persons/shadi-ismail-mohammad-bani-hani,https://pureportal.coventry.ac.uk/en/persons/shadi-ismail-mohammad-bani-hani/publications/
0,Frano Barbic,https://pureportal.coventry.ac.uk/en/persons/frano-barbic,https://pureportal.coventry.ac.uk/en/persons/frano-barbic/publications/
0,Vicky Barclay,https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2,https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2/publications/
0,Victoria Barker,https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2,https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2/publications/
0,Jennifer Barnes-Hill,https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill,https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill/publications/
0,Kate Barnett-Richards,https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2,https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2/publications/
0,Hazel Barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett/publications/
0,Lorraine Barron,https://pureportal.coventry.ac.uk/en/persons/lorraine-barron,https://pureportal.coventry.ac.uk/en/persons/lorraine-barron/publications/
0,Craig Bartle,https://pureportal.coventry.ac.uk/en/persons/craig-bartle,https://pureportal.coventry.ac.uk/en/persons/craig-bartle/publications/
0,James Bartlett,https://pureportal.coventry.ac.uk/en/persons/james-bartlett,https://pureportal.coventry.ac.uk/en/persons/james-bartlett/publications/
